经度,纬度,位置,震级
99.8701,0.7303,"M 4.4 - 97 km SE of Padangsidempuan, Indonesia",4.4
-117.8619,38.229,"M 1.7 - 28 km SE of Mina, Nevada",1.7
-150.5417,63.2786,"M 1.7 - 65 km ESE of Denali National Park, Alaska",1.7
-66.7698333333333,18.0216666666667,"M 2.3 - 0 km N of Magas Arriba, Puerto Rico",2.32
-155.369003295898,19.15016746521,"M 2.2 - 12 km ESE of Pāhala, Hawaii",2.20000005
-116.751,33.8415,"M 1.2 - 9km SSE of Cabazon, CA",1.2
-116.7571667,33.2116667,"M 1.1 - 3km S of Lake Henshaw, CA",1.13
-149.8615,64.2826,"M 3.6 - 32 km W of Clear, Alaska, Alaska",3.6
-97.95739746,35.62977219,"M 1.9 - 10 km S of Okarche, Oklahoma",1.89
-66.8751666666667,17.9536666666667,"M 2.0 - 3 km SSE of Maria Antonia, Puerto Rico",2.03
-155.382827758789,19.2198333740234,"M 2.3 - 10 km E of Pāhala, Hawaii",2.3
-118.3951667,37.2803333,"M 2.3 - 1km NW of Wilkerson, CA",2.3
126.6898,9.2613,"M 5.4 - Mindanao, Philippines",5.4
-148.391,62.834,"M 1.7 - 68 km SSE of Cantwell, Alaska",1.7
-66.9738333333333,17.9876666666667,"M 2.1 - 6 km W of Fuig, Puerto Rico",2.07
-97.97806549,35.63026047,"M 1.8 - 10 km S of Okarche, Oklahoma",1.82
-155.385162353516,19.1965007781982,"M 1.8 - 9 km E of Pāhala, Hawaii",1.76999998
126.6692,9.2256,"M 5.5 - 51 km ENE of La Paz, Philippines",5.5
-116.7038333,34.9351667,"M 1.6 - 29km E of Barstow, CA",1.55
-117.9977,38.1247,"M 1.0 - 31 km SSE of Mina, Nevada",1.0
-155.22216796875,18.8588333129883,"M 2.3 - 44 km ESE of Naalehu, Hawaii",2.25
-155.406326293945,19.2098331451416,"M 1.8 - 7 km E of Pāhala, Hawaii",1.82000005
-152.2639,59.645,"M 1.8 - 28 km WSW of Anchor Point, Alaska",1.8
-149.4109,61.8753,M 1.4 - Southern Alaska,1.4
-68.5779,-22.0803,"M 4.2 - 54 km NE of Calama, Chile",4.2
-116.9765,35.0381667,"M 3.6 - 16km NNE of Barstow, CA",3.62
-148.4051,62.7912,"M 1.1 - 72 km SSE of Cantwell, Alaska",1.1
-149.517,62.2087,"M 1.4 - 18 km ENE of Susitna North, Alaska",1.4
-149.1666,61.951,"M 1.9 - 23 km N of Fishhook, Alaska",1.9
-97.88280487,35.39769745,"M 2.3 - 5 km E of Union City, Oklahoma",2.34
126.4621,26.526,"M 4.7 - 126 km WNW of Naha, Japan",4.7
-117.8855,36.1055,"M 1.4 - 9km NE of Coso Junction, CA",1.43
126.4309,26.8007,"M 5.0 - 140 km WNW of Naha, Japan",5.0
-118.5718333,35.2976667,"M 1.6 - 22km NNW of Tehachapi, CA",1.6
-150.8127,61.4567,"M 1.7 - 18 km WSW of Susitna, Alaska",1.7
