Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
194,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.82E-08,-5.82E-08,-5.82E-08
435,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.90E-08,-5.90E-08,-5.90E-08
50,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.21E-08,-6.21E-08,-6.21E-08
264,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.28E-08,-6.28E-08,-6.28E-08
187,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.33E-08,-6.33E-08,-6.33E-08
206,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.35E-08,-6.35E-08,-6.35E-08
241,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.40E-08,-6.40E-08,-6.40E-08
4,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.51E-08,-6.51E-08,-6.51E-08
356,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.55E-08,-6.55E-08,-6.55E-08
263,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.66E-08,-6.66E-08,-6.66E-08
146,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-6.68E-08,-6.68E-08,-6.68E-08
303,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.15E-08,-7.15E-08,-7.15E-08
391,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.16E-08,-7.16E-08,-7.16E-08
