Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
279,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.64E-07,4.64E-07,4.64E-07
219,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.28E-07,4.28E-07,4.28E-07
374,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.80E-07,3.80E-07,3.80E-07
82,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.79E-07,3.79E-07,3.79E-07
389,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.77E-07,3.77E-07,3.77E-07
499,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.50E-07,3.50E-07,3.50E-07
328,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.44E-07,3.44E-07,3.44E-07
104,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.43E-07,3.43E-07,3.43E-07
113,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.37E-07,3.37E-07,3.37E-07
110,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.36E-07,3.36E-07,3.36E-07
399,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.31E-07,3.31E-07,3.31E-07
105,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.29E-07,3.29E-07,3.29E-07
402,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.26E-07,3.26E-07,3.26E-07
437,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.17E-07,3.17E-07,3.17E-07
27,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.08E-07,3.08E-07,3.08E-07
323,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.00E-07,3.00E-07,3.00E-07
112,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.83E-07,2.83E-07,2.83E-07
80,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.67E-07,2.67E-07,2.67E-07
460,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.65E-07,2.65E-07,2.65E-07
90,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.59E-07,2.59E-07,2.59E-07
94,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.48E-07,2.48E-07,2.48E-07
485,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.44E-07,2.44E-07,2.44E-07
40,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.43E-07,2.43E-07,2.43E-07
355,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.42E-07,2.42E-07,2.42E-07
274,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.41E-07,2.41E-07,2.41E-07
319,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.39E-07,2.39E-07,2.39E-07
45,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.39E-07,2.39E-07,2.39E-07
191,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.37E-07,2.37E-07,2.37E-07
269,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.31E-07,2.31E-07,2.31E-07
227,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.29E-07,2.29E-07,2.29E-07
474,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.28E-07,2.28E-07,2.28E-07
56,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.27E-07,2.27E-07,2.27E-07
212,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.26E-07,2.26E-07,2.26E-07
412,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.26E-07,2.26E-07,2.26E-07
118,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.17E-07,2.17E-07,2.17E-07
250,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.12E-07,2.12E-07,2.12E-07
64,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.08E-07,2.08E-07,2.08E-07
55,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.08E-07,2.08E-07,2.08E-07
202,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.06E-07,2.06E-07,2.06E-07
488,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.04E-07,2.04E-07,2.04E-07
479,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.03E-07,2.03E-07,2.03E-07
300,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,2.02E-07,2.02E-07,2.02E-07
416,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.97E-07,1.97E-07,1.97E-07
16,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.88E-07,1.88E-07,1.88E-07
338,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.83E-07,1.83E-07,1.83E-07
65,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.82E-07,1.82E-07,1.82E-07
261,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.82E-07,1.82E-07,1.82E-07
433,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.81E-07,1.81E-07,1.81E-07
183,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.77E-07,1.77E-07,1.77E-07
293,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.70E-07,1.70E-07,1.70E-07
189,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.70E-07,1.70E-07,1.70E-07
88,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.66E-07,1.66E-07,1.66E-07
167,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.65E-07,1.65E-07,1.65E-07
180,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.63E-07,1.63E-07,1.63E-07
347,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.62E-07,1.62E-07,1.62E-07
407,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.62E-07,1.62E-07,1.62E-07
378,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.59E-07,1.59E-07,1.59E-07
32,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.58E-07,1.58E-07,1.58E-07
196,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.58E-07,1.58E-07,1.58E-07
262,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.51E-07,1.51E-07,1.51E-07
409,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.50E-07,1.50E-07,1.50E-07
91,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.48E-07,1.48E-07,1.48E-07
495,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.47E-07,1.47E-07,1.47E-07
375,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.46E-07,1.46E-07,1.46E-07
34,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.45E-07,1.45E-07,1.45E-07
103,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.45E-07,1.45E-07,1.45E-07
111,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.42E-07,1.42E-07,1.42E-07
331,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.41E-07,1.41E-07,1.41E-07
75,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.35E-07,1.35E-07,1.35E-07
251,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.33E-07,1.33E-07,1.33E-07
47,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.33E-07,1.33E-07,1.33E-07
440,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.29E-07,1.29E-07,1.29E-07
487,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.29E-07,1.29E-07,1.29E-07
155,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.28E-07,1.28E-07,1.28E-07
173,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.27E-07,1.27E-07,1.27E-07
42,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.27E-07,1.27E-07,1.27E-07
234,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.26E-07,1.26E-07,1.26E-07
156,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.26E-07,1.26E-07,1.26E-07
150,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.22E-07,1.22E-07,1.22E-07
232,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.21E-07,1.21E-07,1.21E-07
484,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.20E-07,1.20E-07,1.20E-07
39,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.19E-07,1.19E-07,1.19E-07
283,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.19E-07,1.19E-07,1.19E-07
147,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.17E-07,1.17E-07,1.17E-07
411,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.17E-07,1.17E-07,1.17E-07
377,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.15E-07,1.15E-07,1.15E-07
200,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.14E-07,1.14E-07,1.14E-07
10,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.14E-07,1.14E-07,1.14E-07
11,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.13E-07,1.13E-07,1.13E-07
235,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.11E-07,1.11E-07,1.11E-07
107,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.10E-07,1.10E-07,1.10E-07
127,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.09E-07,1.09E-07,1.09E-07
29,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.07E-07,1.07E-07,1.07E-07
280,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.07E-07,1.07E-07,1.07E-07
164,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.04E-07,1.04E-07,1.04E-07
49,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.04E-07,1.04E-07,1.04E-07
237,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.03E-07,1.03E-07,1.03E-07
385,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.03E-07,1.03E-07,1.03E-07
188,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.01E-07,1.01E-07,1.01E-07
428,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,1.00E-07,1.00E-07,1.00E-07
95,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.99E-08,9.99E-08,9.99E-08
284,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.99E-08,9.99E-08,9.99E-08
153,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.98E-08,9.98E-08,9.98E-08
404,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.92E-08,9.92E-08,9.92E-08
384,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.82E-08,9.82E-08,9.82E-08
73,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.44E-08,9.44E-08,9.44E-08
301,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.39E-08,9.39E-08,9.39E-08
351,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.27E-08,9.27E-08,9.27E-08
163,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.17E-08,9.17E-08,9.17E-08
178,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.14E-08,9.14E-08,9.14E-08
465,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,9.11E-08,9.11E-08,9.11E-08
259,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.96E-08,8.96E-08,8.96E-08
367,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.95E-08,8.95E-08,8.95E-08
25,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.90E-08,8.90E-08,8.90E-08
220,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.81E-08,8.81E-08,8.81E-08
119,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.69E-08,8.69E-08,8.69E-08
368,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.68E-08,8.68E-08,8.68E-08
17,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.51E-08,8.51E-08,8.51E-08
33,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.46E-08,8.46E-08,8.46E-08
121,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.31E-08,8.31E-08,8.31E-08
35,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.26E-08,8.26E-08,8.26E-08
431,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,8.04E-08,8.04E-08,8.04E-08
225,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.83E-08,7.83E-08,7.83E-08
174,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.73E-08,7.73E-08,7.73E-08
363,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.73E-08,7.73E-08,7.73E-08
340,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.59E-08,7.59E-08,7.59E-08
44,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.56E-08,7.56E-08,7.56E-08
154,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.54E-08,7.54E-08,7.54E-08
329,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.54E-08,7.54E-08,7.54E-08
459,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.44E-08,7.44E-08,7.44E-08
413,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.21E-08,7.21E-08,7.21E-08
482,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.21E-08,7.21E-08,7.21E-08
51,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.20E-08,7.20E-08,7.20E-08
341,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.15E-08,7.15E-08,7.15E-08
321,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.09E-08,7.09E-08,7.09E-08
81,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,7.00E-08,7.00E-08,7.00E-08
271,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.93E-08,6.93E-08,6.93E-08
244,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.73E-08,6.73E-08,6.73E-08
365,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.58E-08,6.58E-08,6.58E-08
148,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.39E-08,6.39E-08,6.39E-08
438,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.34E-08,6.34E-08,6.34E-08
217,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.31E-08,6.31E-08,6.31E-08
287,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.22E-08,6.22E-08,6.22E-08
43,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.20E-08,6.20E-08,6.20E-08
123,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.15E-08,6.15E-08,6.15E-08
439,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.12E-08,6.12E-08,6.12E-08
304,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.11E-08,6.11E-08,6.11E-08
211,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,6.10E-08,6.10E-08,6.10E-08
1,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.98E-08,5.98E-08,5.98E-08
192,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.79E-08,5.79E-08,5.79E-08
448,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.77E-08,5.77E-08,5.77E-08
12,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.72E-08,5.72E-08,5.72E-08
14,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.71E-08,5.71E-08,5.71E-08
221,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.65E-08,5.65E-08,5.65E-08
257,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.50E-08,5.50E-08,5.50E-08
429,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.31E-08,5.31E-08,5.31E-08
135,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.25E-08,5.25E-08,5.25E-08
442,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.24E-08,5.24E-08,5.24E-08
223,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,5.23E-08,5.23E-08,5.23E-08
441,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.95E-08,4.95E-08,4.95E-08
324,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.79E-08,4.79E-08,4.79E-08
496,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.74E-08,4.74E-08,4.74E-08
345,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.70E-08,4.70E-08,4.70E-08
19,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.69E-08,4.69E-08,4.69E-08
21,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.46E-08,4.46E-08,4.46E-08
181,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.39E-08,4.39E-08,4.39E-08
242,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.35E-08,4.35E-08,4.35E-08
414,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.34E-08,4.34E-08,4.34E-08
216,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.21E-08,4.21E-08,4.21E-08
406,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.20E-08,4.20E-08,4.20E-08
322,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.20E-08,4.20E-08,4.20E-08
114,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.17E-08,4.17E-08,4.17E-08
285,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.16E-08,4.16E-08,4.16E-08
54,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,4.02E-08,4.02E-08,4.02E-08
492,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.96E-08,3.96E-08,3.96E-08
140,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.82E-08,3.82E-08,3.82E-08
466,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.73E-08,3.73E-08,3.73E-08
415,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.69E-08,3.69E-08,3.69E-08
265,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.65E-08,3.65E-08,3.65E-08
128,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.54E-08,3.54E-08,3.54E-08
272,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,3.37E-08,3.37E-08,3.37E-08
